---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.25e+03 |
|    ep_rew_mean     | -54.9    |
| time/              |          |
|    fps             | 5893     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 43008    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.25e+03     |
|    ep_rew_mean          | -54.9        |
| time/                   |              |
|    fps                  | 2134         |
|    iterations           | 2            |
|    time_elapsed         | 1            |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0046209837 |
|    clip_fraction        | 0.0486       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | -0.00263     |
|    learning_rate        | 0.0003       |
|    loss                 | 0.728        |
|    n_updates            | 105          |
|    policy_gradient_loss | -0.00556     |
|    std                  | 0.987        |
|    value_loss           | 6.21         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.25e+03    |
|    ep_rew_mean          | -49.6       |
| time/                   |             |
|    fps                  | 1981        |
|    iterations           | 3           |
|    time_elapsed         | 3           |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.008689347 |
|    clip_fraction        | 0.073       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.0167      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.32        |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00772    |
|    std                  | 0.986       |
|    value_loss           | 5.69        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.25e+03    |
|    ep_rew_mean          | -49.6       |
| time/                   |             |
|    fps                  | 1825        |
|    iterations           | 4           |
|    time_elapsed         | 4           |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.013856934 |
|    clip_fraction        | 0.079       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | -0.00355    |
|    learning_rate        | 0.0003      |
|    loss                 | 5.25        |
|    n_updates            | 115         |
|    policy_gradient_loss | -0.00779    |
|    std                  | 0.985       |
|    value_loss           | 48.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.25e+03    |
|    ep_rew_mean          | -48         |
| time/                   |             |
|    fps                  | 1718        |
|    iterations           | 5           |
|    time_elapsed         | 5           |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.012863969 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.0286      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.7         |
|    n_updates            | 120         |
