---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.25e+03 |
|    ep_rew_mean     | -62.1    |
| time/              |          |
|    fps             | 5288     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 22528    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.25e+03    |
|    ep_rew_mean          | -62.1       |
| time/                   |             |
|    fps                  | 1962        |
|    iterations           | 2           |
|    time_elapsed         | 2           |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.000970615 |
|    clip_fraction        | 0.000293    |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | -0.0121     |
|    learning_rate        | 0.0003      |
|    loss                 | 5.27        |
|    n_updates            | 55          |
|    policy_gradient_loss | -0.000698   |
|    std                  | 0.991       |
|    value_loss           | 4.62        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.25e+03     |
|    ep_rew_mean          | -55.4        |
| time/                   |              |
|    fps                  | 1793         |
|    iterations           | 3            |
|    time_elapsed         | 3            |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0064420765 |
|    clip_fraction        | 0.0245       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | -0.0289      |
|    learning_rate        | 0.0003       |
|    loss                 | 1.2          |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00471     |
|    std                  | 0.993        |
|    value_loss           | 2.94         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.25e+03     |
|    ep_rew_mean          | -55.4        |
| time/                   |              |
|    fps                  | 1624         |
|    iterations           | 4            |
|    time_elapsed         | 5            |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0050238185 |
|    clip_fraction        | 0.0229       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0132       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.536        |
|    n_updates            | 65           |
|    policy_gradient_loss | -0.00419     |
|    std                  | 0.994        |
|    value_loss           | 10.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.25e+03     |
|    ep_rew_mean          | -55.7        |
| time/                   |              |
|    fps                  | 1647         |
|    iterations           | 5            |
|    time_elapsed         | 6            |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0075539122 |
|    clip_fraction        | 0.142        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.000895     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0169      |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.0126      |
|    std                  | 0.991        |
|    value_loss           | 0.369        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.25e+03    |
|    ep_rew_mean          | -55.7       |
| time/                   |             |
|    fps                  | 1608        |
|    iterations           | 6           |
|    time_elapsed         | 7           |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.006792845 |
