CP7: evasive lineage | max_time=45s t_go_max=10s | tracking=True | obs=12-D | miss_tanh_scale=3000m shaping_gamma=1 effort_weight=5 precision_weight=0 -> out=outputs/precision_ft/seed2_pw0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.46e+03 |
|    ep_rew_mean     | 74.4     |
| time/              |          |
|    fps             | 1585     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 1230848  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.44e+03    |
|    ep_rew_mean          | 75.7        |
| time/                   |             |
|    fps                  | 735         |
|    iterations           | 2           |
|    time_elapsed         | 5           |
|    total_timesteps      | 1232896     |
| train/                  |             |
|    approx_kl            | 0.010977525 |
|    clip_fraction        | 0.291       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.16       |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.09        |
|    n_updates            | 3005        |
|    policy_gradient_loss | 0.0136      |
|    std                  | 0.713       |
|    value_loss           | 5.61        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.44e+03   |
|    ep_rew_mean          | 75.7       |
| time/                   |            |
|    fps                  | 672        |
|    iterations           | 3          |
|    time_elapsed         | 9          |
|    total_timesteps      | 1234944    |
| train/                  |            |
|    approx_kl            | 0.03547386 |
|    clip_fraction        | 0.265      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.16      |
|    explained_variance   | 0.466      |
|    learning_rate        | 0.0003     |
|    loss                 | 8.6        |
|    n_updates            | 3010       |
|    policy_gradient_loss | 0.0225     |
|    std                  | 0.714      |
|    value_loss           | 58.3       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.44e+03     |
|    ep_rew_mean          | 76.8         |
| time/                   |              |
|    fps                  | 668          |
|    iterations           | 4            |
|    time_elapsed         | 12           |
|    total_timesteps      | 1236992      |
| train/                  |              |
|    approx_kl            | 0.0067995954 |
|    clip_fraction        | 0.11         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.16        |
|    explained_variance   | 0.78         |
|    learning_rate        | 0.0003       |
|    loss                 | 10           |
|    n_updates            | 3015         |
|    policy_gradient_loss | -0.000686    |
|    std                  | 0.712        |
|    value_loss           | 16.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.45e+03    |
|    ep_rew_mean          | 75.6        |
| time/                   |             |
|    fps                  | 639         |
|    iterations           | 5           |
|    time_elapsed         | 16          |
|    total_timesteps      | 1239040     |
| train/                  |             |
|    approx_kl            | 0.004574716 |
|    clip_fraction        | 0.0539      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.16       |
|    explained_variance   | 0.491       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.61        |
|    n_updates            | 3020        |
|    policy_gradient_loss | -0.00147    |
|    std                  | 0.711       |
|    value_loss           | 72.6        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.44e+03   |
|    ep_rew_mean          | 76.8       |
| time/                   |            |
|    fps                  | 629        |
|    iterations           | 6          |
|    time_elapsed         | 19         |
|    total_timesteps      | 1241088    |
| train/                  |            |
|    approx_kl            | 0.03992275 |
|    clip_fraction        | 0.217      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.15      |
|    explained_variance   | 0.792      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.591      |
|    n_updates            | 3025       |
|    policy_gradient_loss | 0.0227     |
|    std                  | 0.711      |
|    value_loss           | 6.73       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.44e+03    |
|    ep_rew_mean          | 76.8        |
| time/                   |             |
|    fps                  | 608         |
|    iterations           | 7           |
|    time_elapsed         | 23          |
|    total_timesteps      | 1243136     |
| train/                  |             |
|    approx_kl            | 0.008156298 |
|    clip_fraction        | 0.0555      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.457       |
|    learning_rate        | 0.0003      |
|    loss                 | 91.3        |
|    n_updates            | 3030        |
|    policy_gradient_loss | -0.00228    |
|    std                  | 0.711       |
|    value_loss           | 90.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.42e+03    |
|    ep_rew_mean          | 78.5        |
| time/                   |             |
|    fps                  | 623         |
|    iterations           | 8           |
|    time_elapsed         | 26          |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.022173617 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.844       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.7         |
|    n_updates            | 3035        |
|    policy_gradient_loss | 0.00508     |
|    std                  | 0.711       |
|    value_loss           | 3.58        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.4e+03    |
|    ep_rew_mean          | 81         |
| time/                   |            |
|    fps                  | 626        |
|    iterations           | 9          |
|    time_elapsed         | 29         |
|    total_timesteps      | 1247232    |
| train/                  |            |
|    approx_kl            | 0.01338063 |
|    clip_fraction        | 0.174      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.15      |
|    explained_variance   | 0.587      |
|    learning_rate        | 0.0003     |
|    loss                 | 84.9       |
|    n_updates            | 3040       |
|    policy_gradient_loss | 0.00122    |
|    std                  | 0.71       |
|    value_loss           | 74.5       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.39e+03    |
|    ep_rew_mean          | 82          |
| time/                   |             |
|    fps                  | 622         |
|    iterations           | 10          |
|    time_elapsed         | 32          |
|    total_timesteps      | 1249280     |
| train/                  |             |
|    approx_kl            | 0.019720092 |
|    clip_fraction        | 0.0932      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.429       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.825       |
|    n_updates            | 3045        |
|    policy_gradient_loss | 0.00123     |
|    std                  | 0.709       |
|    value_loss           | 55.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.39e+03     |
|    ep_rew_mean          | 82           |
| time/                   |              |
|    fps                  | 626          |
|    iterations           | 11           |
|    time_elapsed         | 35           |
|    total_timesteps      | 1251328      |
| train/                  |              |
|    approx_kl            | 0.0027367333 |
|    clip_fraction        | 0.02         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.15        |
|    explained_variance   | 0.609        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.75         |
|    n_updates            | 3050         |
|    policy_gradient_loss | -0.00188     |
|    std                  | 0.708        |
|    value_loss           | 52           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.39e+03    |
|    ep_rew_mean          | 82.1        |
| time/                   |             |
|    fps                  | 630         |
|    iterations           | 12          |
|    time_elapsed         | 38          |
|    total_timesteps      | 1253376     |
