CP7: evasive lineage | max_time=45s t_go_max=10s | tracking=True | obs=12-D | miss_tanh_scale=3000m shaping_gamma=1 effort_weight=5 precision_weight=0 -> out=outputs/precision_ft_lownoise/seed4_pw0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.39e+03 |
|    ep_rew_mean     | 81.2     |
| time/              |          |
|    fps             | 3941     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 1230848  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.37e+03     |
|    ep_rew_mean          | 82.8         |
| time/                   |              |
|    fps                  | 1420         |
|    iterations           | 2            |
|    time_elapsed         | 2            |
|    total_timesteps      | 1232896      |
| train/                  |              |
|    approx_kl            | 0.0055684526 |
|    clip_fraction        | 0.0765       |
|    clip_range           | 0.2          |
|    entropy_loss         | 1.16         |
|    explained_variance   | 0.552        |
|    learning_rate        | 5e-05        |
|    loss                 | 1.31         |
|    n_updates            | 3005         |
|    policy_gradient_loss | 0.000692     |
|    std                  | 0.135        |
|    value_loss           | 3.61         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.38e+03    |
|    ep_rew_mean          | 83.1        |
| time/                   |             |
|    fps                  | 1326        |
|    iterations           | 3           |
|    time_elapsed         | 4           |
|    total_timesteps      | 1234944     |
| train/                  |             |
|    approx_kl            | 0.017607842 |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.738       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.683       |
|    n_updates            | 3010        |
|    policy_gradient_loss | 0.0112      |
|    std                  | 0.135       |
|    value_loss           | 50.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.38e+03    |
|    ep_rew_mean          | 83.1        |
| time/                   |             |
|    fps                  | 1258        |
|    iterations           | 4           |
|    time_elapsed         | 6           |
|    total_timesteps      | 1236992     |
| train/                  |             |
|    approx_kl            | 0.021914035 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.759       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.69        |
|    n_updates            | 3015        |
|    policy_gradient_loss | 0.00416     |
|    std                  | 0.135       |
|    value_loss           | 58.6        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.38e+03   |
|    ep_rew_mean          | 82.6       |
| time/                   |            |
|    fps                  | 1233       |
|    iterations           | 5          |
|    time_elapsed         | 8          |
|    total_timesteps      | 1239040    |
| train/                  |            |
|    approx_kl            | 0.01495614 |
|    clip_fraction        | 0.2        |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.16       |
|    explained_variance   | 0.76       |
|    learning_rate        | 5e-05      |
|    loss                 | 63.4       |
|    n_updates            | 3020       |
|    policy_gradient_loss | 0.0106     |
|    std                  | 0.135      |
|    value_loss           | 17.9       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.38e+03    |
|    ep_rew_mean          | 82.6        |
| time/                   |             |
|    fps                  | 1190        |
|    iterations           | 6           |
|    time_elapsed         | 10          |
|    total_timesteps      | 1241088     |
| train/                  |             |
|    approx_kl            | 0.013662347 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.635       |
|    learning_rate        | 5e-05       |
|    loss                 | 3.73        |
|    n_updates            | 3025        |
|    policy_gradient_loss | 0.00599     |
|    std                  | 0.135       |
|    value_loss           | 54.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.37e+03     |
|    ep_rew_mean          | 84           |
| time/                   |              |
|    fps                  | 1178         |
|    iterations           | 7            |
|    time_elapsed         | 12           |
|    total_timesteps      | 1243136      |
| train/                  |              |
|    approx_kl            | 0.0151819615 |
|    clip_fraction        | 0.14         |
|    clip_range           | 0.2          |
|    entropy_loss         | 1.16         |
|    explained_variance   | 0.89         |
|    learning_rate        | 5e-05        |
|    loss                 | 0.467        |
|    n_updates            | 3030         |
|    policy_gradient_loss | 0.00198      |
|    std                  | 0.135        |
|    value_loss           | 11.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.38e+03    |
|    ep_rew_mean          | 82.7        |
| time/                   |             |
|    fps                  | 1158        |
|    iterations           | 8           |
|    time_elapsed         | 14          |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.004700949 |
|    clip_fraction        | 0.0974      |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.755       |
|    learning_rate        | 5e-05       |
|    loss                 | 2.2         |
|    n_updates            | 3035        |
|    policy_gradient_loss | -0.000523   |
|    std                  | 0.135       |
|    value_loss           | 37.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.38e+03    |
|    ep_rew_mean          | 82.9        |
| time/                   |             |
|    fps                  | 1124        |
|    iterations           | 9           |
|    time_elapsed         | 16          |
|    total_timesteps      | 1247232     |
| train/                  |             |
|    approx_kl            | 0.012959425 |
|    clip_fraction        | 0.092       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.798       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.64        |
|    n_updates            | 3040        |
|    policy_gradient_loss | 0.000197    |
|    std                  | 0.135       |
|    value_loss           | 22.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.38e+03    |
|    ep_rew_mean          | 82.9        |
| time/                   |             |
|    fps                  | 1118        |
|    iterations           | 10          |
|    time_elapsed         | 18          |
|    total_timesteps      | 1249280     |
| train/                  |             |
|    approx_kl            | 0.009271416 |
|    clip_fraction        | 0.0875      |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.67        |
|    learning_rate        | 5e-05       |
|    loss                 | 35.8        |
|    n_updates            | 3045        |
|    policy_gradient_loss | 0.000327    |
|    std                  | 0.135       |
|    value_loss           | 45.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.38e+03    |
|    ep_rew_mean          | 83.2        |
| time/                   |             |
|    fps                  | 1122        |
|    iterations           | 11          |
|    time_elapsed         | 20          |
|    total_timesteps      | 1251328     |
| train/                  |             |
|    approx_kl            | 0.016160378 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.89        |
|    learning_rate        | 5e-05       |
|    loss                 | 33.4        |
|    n_updates            | 3050        |
|    policy_gradient_loss | 0.00282     |
|    std                  | 0.135       |
|    value_loss           | 13.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.39e+03     |
|    ep_rew_mean          | 81.7         |
| time/                   |              |
|    fps                  | 1121         |
|    iterations           | 12           |
|    time_elapsed         | 21           |
|    total_timesteps      | 1253376      |
| train/                  |              |
|    approx_kl            | 0.0065431916 |
|    clip_fraction        | 0.113        |
|    clip_range           | 0.2          |
|    entropy_loss         | 1.17         |
|    explained_variance   | 0.851        |
|    learning_rate        | 5e-05        |
|    loss                 | 56.9         |
|    n_updates            | 3055         |
|    policy_gradient_loss | -0.000224    |
|    std                  | 0.135        |
|    value_loss           | 29.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.38e+03     |
|    ep_rew_mean          | 82.9         |
| time/                   |              |
|    fps                  | 1106         |
|    iterations           | 13           |
|    time_elapsed         | 24           |
|    total_timesteps      | 1255424      |
| train/                  |              |
|    approx_kl            | 0.0050899554 |
|    clip_fraction        | 0.0675       |
|    clip_range           | 0.2          |
|    entropy_loss         | 1.16         |
|    explained_variance   | 0.757        |
|    learning_rate        | 5e-05        |
|    loss                 | 16.9         |
|    n_updates            | 3060         |
|    policy_gradient_loss | -0.000153    |
|    std                  | 0.135        |
|    value_loss           | 8.08         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.36e+03    |
|    ep_rew_mean          | 84.6        |
| time/                   |             |
|    fps                  | 1097        |
|    iterations           | 14          |
|    time_elapsed         | 26          |
|    total_timesteps      | 1257472     |
| train/                  |             |
|    approx_kl            | 0.028308015 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.379       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.496       |
|    n_updates            | 3065        |
|    policy_gradient_loss | 0.000731    |
|    std                  | 0.135       |
|    value_loss           | 58.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.36e+03    |
|    ep_rew_mean          | 84.6        |
| time/                   |             |
|    fps                  | 1089        |
|    iterations           | 15          |
|    time_elapsed         | 28          |
|    total_timesteps      | 1259520     |
| train/                  |             |
|    approx_kl            | 0.008139464 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.447       |
|    learning_rate        | 5e-05       |
|    loss                 | 2.13        |
|    n_updates            | 3070        |
|    policy_gradient_loss | 0.00385     |
|    std                  | 0.135       |
|    value_loss           | 40.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.36e+03    |
|    ep_rew_mean          | 84.7        |
| time/                   |             |
|    fps                  | 1080        |
|    iterations           | 16          |
|    time_elapsed         | 30          |
|    total_timesteps      | 1261568     |
| train/                  |             |
|    approx_kl            | 0.011333549 |
|    clip_fraction        | 0.166       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.17        |
|    explained_variance   | 0.417       |
|    learning_rate        | 5e-05       |
|    loss                 | 141         |
|    n_updates            | 3075        |
|    policy_gradient_loss | 0.00514     |
|    std                  | 0.135       |
|    value_loss           | 71.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.36e+03    |
|    ep_rew_mean          | 84.7        |
| time/                   |             |
|    fps                  | 1075        |
|    iterations           | 17          |
|    time_elapsed         | 32          |
|    total_timesteps      | 1263616     |
| train/                  |             |
|    approx_kl            | 0.013140472 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.669       |
|    learning_rate        | 5e-05       |
|    loss                 | 97.2        |
|    n_updates            | 3080        |
|    policy_gradient_loss | 0.00195     |
|    std                  | 0.135       |
|    value_loss           | 52          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.36e+03    |
|    ep_rew_mean          | 84.9        |
| time/                   |             |
|    fps                  | 1077        |
|    iterations           | 18          |
|    time_elapsed         | 34          |
|    total_timesteps      | 1265664     |
| train/                  |             |
