CP7: evasive lineage | max_time=45s t_go_max=10s | tracking=True | obs=12-D | miss_tanh_scale=3000m shaping_gamma=1 effort_weight=5 precision_weight=0 -> out=outputs/precision_ft/seed3_pw0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.33e+03 |
|    ep_rew_mean     | 84.2     |
| time/              |          |
|    fps             | 1742     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 1230848  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.31e+03    |
|    ep_rew_mean          | 85.8        |
| time/                   |             |
|    fps                  | 830         |
|    iterations           | 2           |
|    time_elapsed         | 4           |
|    total_timesteps      | 1232896     |
| train/                  |             |
|    approx_kl            | 0.024184924 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.11       |
|    explained_variance   | 0.862       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.93        |
|    n_updates            | 3005        |
|    policy_gradient_loss | -0.0014     |
|    std                  | 0.693       |
|    value_loss           | 6.06        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.31e+03    |
|    ep_rew_mean          | 87.5        |
| time/                   |             |
|    fps                  | 725         |
|    iterations           | 3           |
|    time_elapsed         | 8           |
|    total_timesteps      | 1234944     |
| train/                  |             |
|    approx_kl            | 0.032111235 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.1        |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.27        |
|    n_updates            | 3010        |
|    policy_gradient_loss | 0.00907     |
|    std                  | 0.694       |
|    value_loss           | 26          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.3e+03      |
|    ep_rew_mean          | 89.1         |
| time/                   |              |
|    fps                  | 682          |
|    iterations           | 4            |
|    time_elapsed         | 11           |
|    total_timesteps      | 1236992      |
| train/                  |              |
|    approx_kl            | 0.0070539895 |
|    clip_fraction        | 0.0601       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.11        |
|    explained_variance   | 0.457        |
|    learning_rate        | 0.0003       |
|    loss                 | 100          |
|    n_updates            | 3015         |
|    policy_gradient_loss | 0.00083      |
|    std                  | 0.693        |
|    value_loss           | 82           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.3e+03     |
|    ep_rew_mean          | 89.2        |
| time/                   |             |
|    fps                  | 649         |
|    iterations           | 5           |
|    time_elapsed         | 15          |
|    total_timesteps      | 1239040     |
| train/                  |             |
|    approx_kl            | 0.003785632 |
|    clip_fraction        | 0.0448      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.1        |
|    explained_variance   | 0.758       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.41        |
|    n_updates            | 3020        |
|    policy_gradient_loss | -0.00273    |
|    std                  | 0.693       |
|    value_loss           | 38.1        |
-----------------------------------------
-----------------------------------------
