CP7: evasive lineage | max_time=45s t_go_max=10s | tracking=True | obs=12-D | miss_tanh_scale=3000m shaping_gamma=1 effort_weight=5 precision_weight=50 -> out=outputs/precision_ft_lownoise/seed6_pw50
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.18e+03 |
|    ep_rew_mean     | 97.6     |
| time/              |          |
|    fps             | 4038     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 1230848  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.16e+03   |
|    ep_rew_mean          | 99.8       |
| time/                   |            |
|    fps                  | 1388       |
|    iterations           | 2          |
|    time_elapsed         | 2          |
|    total_timesteps      | 1232896    |
| train/                  |            |
|    approx_kl            | 0.01585134 |
|    clip_fraction        | 0.226      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.16       |
|    explained_variance   | 0.91       |
|    learning_rate        | 5e-05      |
|    loss                 | 0.92       |
|    n_updates            | 3005       |
|    policy_gradient_loss | 0.0118     |
|    std                  | 0.135      |
|    value_loss           | 2.84       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.16e+03    |
|    ep_rew_mean          | 100         |
| time/                   |             |
|    fps                  | 1238        |
|    iterations           | 3           |
|    time_elapsed         | 4           |
|    total_timesteps      | 1234944     |
| train/                  |             |
|    approx_kl            | 0.032920025 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.734       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.502       |
|    n_updates            | 3010        |
|    policy_gradient_loss | 0.00621     |
|    std                  | 0.135       |
|    value_loss           | 134         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1.15e+03  |
|    ep_rew_mean          | 103       |
| time/                   |           |
|    fps                  | 1186      |
|    iterations           | 4         |
|    time_elapsed         | 6         |
|    total_timesteps      | 1236992   |
| train/                  |           |
|    approx_kl            | 0.5606382 |
|    clip_fraction        | 0.513     |
|    clip_range           | 0.2       |
|    entropy_loss         | 1.16      |
|    explained_variance   | 0.83      |
|    learning_rate        | 5e-05     |
|    loss                 | 0.533     |
|    n_updates            | 3015      |
|    policy_gradient_loss | 0.0666    |
|    std                  | 0.135     |
|    value_loss           | 41        |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.15e+03    |
|    ep_rew_mean          | 103         |
| time/                   |             |
|    fps                  | 1161        |
|    iterations           | 5           |
|    time_elapsed         | 8           |
|    total_timesteps      | 1239040     |
| train/                  |             |
|    approx_kl            | 0.037440605 |
|    clip_fraction        | 0.275       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.737       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.96        |
|    n_updates            | 3020        |
|    policy_gradient_loss | 0.0172      |
|    std                  | 0.135       |
|    value_loss           | 79.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.15e+03    |
|    ep_rew_mean          | 104         |
| time/                   |             |
|    fps                  | 1118        |
|    iterations           | 6           |
|    time_elapsed         | 10          |
|    total_timesteps      | 1241088     |
| train/                  |             |
|    approx_kl            | 0.016116641 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.742       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.788       |
|    n_updates            | 3025        |
|    policy_gradient_loss | 0.00507     |
|    std                  | 0.135       |
|    value_loss           | 86.2        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1.14e+03  |
|    ep_rew_mean          | 104       |
| time/                   |           |
|    fps                  | 1103      |
|    iterations           | 7         |
|    time_elapsed         | 12        |
|    total_timesteps      | 1243136   |
| train/                  |           |
|    approx_kl            | 0.0079349 |
|    clip_fraction        | 0.103     |
|    clip_range           | 0.2       |
|    entropy_loss         | 1.16      |
|    explained_variance   | 0.818     |
|    learning_rate        | 5e-05     |
|    loss                 | 1.43      |
|    n_updates            | 3030      |
|    policy_gradient_loss | -0.00171  |
|    std                  | 0.135     |
|    value_loss           | 31.6      |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.14e+03     |
|    ep_rew_mean          | 105          |
| time/                   |              |
|    fps                  | 1074         |
|    iterations           | 8            |
|    time_elapsed         | 15           |
|    total_timesteps      | 1245184      |
| train/                  |              |
|    approx_kl            | 0.0049960623 |
|    clip_fraction        | 0.0617       |
|    clip_range           | 0.2          |
|    entropy_loss         | 1.16         |
|    explained_variance   | 0.758        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.993        |
|    n_updates            | 3035         |
|    policy_gradient_loss | 0.00114      |
|    std                  | 0.135        |
|    value_loss           | 124          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.17e+03    |
|    ep_rew_mean          | 102         |
| time/                   |             |
|    fps                  | 1066        |
|    iterations           | 9           |
|    time_elapsed         | 17          |
|    total_timesteps      | 1247232     |
| train/                  |             |
|    approx_kl            | 0.012853902 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.16        |
|    explained_variance   | 0.883       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.649       |
|    n_updates            | 3040        |
|    policy_gradient_loss | 0.00424     |
|    std                  | 0.135       |
|    value_loss           | 24.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.17e+03    |
|    ep_rew_mean          | 102         |
| time/                   |             |
|    fps                  | 1056        |
|    iterations           | 10          |
|    time_elapsed         | 19          |
|    total_timesteps      | 1249280     |
| train/                  |             |
|    approx_kl            | 0.023844471 |
